------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
30          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  2.416375142947333e-01  1.999622705006573e+01  2.600000000000000e+00        1
 1.868898078367956e+00  7.881811736734495e-03  2.230589780598884e-02 -6.335152962556719e-02  1.946091331790602e+01  2.640010804621807e+00        2
 3.737796156735911e+00 -4.132853374557699e-03 -1.216841909799174e-02 -9.390225115843001e-01  1.875942179382194e+01  3.020688864732372e+00        3
 5.606694235103866e+00 -5.337431639638587e-02 -1.660374298963776e-01 -9.681602781855697e-01  1.780810903336441e+01  3.439403926808371e+00        4
 7.475592313471818e+00 -6.728957432539981e-02 -2.198062649068178e-01  1.126118695753711e-01  1.596199917535426e+01  3.786326869034822e+00        5
 9.344490391839781e+00 -4.602787751594149e-02 -1.304160084199685e-01  4.183335022979277e-01  1.348919717928967e+01  4.039332218758885e+00        6
 1.121338847020773e+01 -3.999905698300246e-02 -6.031873787516424e-02 -2.112551758074652e-02  1.138156354448531e+01  4.206005509132186e+00        7
 1.308228654857569e+01 -4.740603970003769e-02 -9.705166963485177e-03 -3.690391201122424e-01  9.663248200832516e+00  4.286309278042746e+00        8
 1.495118462694364e+01 -6.407384013534273e-02  2.227600673265007e-02 -6.385786328740399e-01  7.931979585292923e+00  4.290104065558358e+00        9
 1.682008270531160e+01 -8.906403554072664e-02  3.672081362893553e-02 -8.607996894775853e-01  6.363287870702024e+00  4.226178774055309e+00       10
 1.868898078367956e+01 -1.202275875969512e-01  3.687368015540191e-02 -1.035626874430746e+00  4.934412912801704e+00  4.100304080344140e+00       11
 2.055787886204751e+01 -1.566213915550041e-01  2.452837372420575e-02 -1.206686914684107e+00  3.765002279663608e+00  3.925124191346732e+00       12
 2.242677694041546e+01 -1.989422211906766e-01  1.876574265058229e-03 -1.382902751009413e+00  2.878354513632288e+00  3.709836942314207e+00       13
 2.429567501878342e+01 -2.468288513921414e-01 -2.715057714481744e-02 -1.551915696712155e+00  2.259775961825362e+00  3.468706347613540e+00       14
 2.616457309715138e+01 -3.001719332680443e-01 -5.794695309010585e-02 -1.732591829665799e+00  1.742625860786796e+00  3.220399282620758e+00       15
 2.803347117551933e+01 -3.598404589369360e-01 -8.568759924211204e-02 -1.929839307492891e+00  1.354660228827936e+00  2.984861215023285e+00       16
 2.990236925388728e+01 -4.260447669266317e-01 -1.078969769136283e-01 -2.156156061315860e+00  1.045171721040247e+00  2.770851852792753e+00       17
 3.177126733225523e+01 -5.004680902766513e-01 -1.245171647473217e-01 -2.402005298425154e+00  7.236920304859605e-01  2.580131693543972e+00       18
 3.364016541062320e+01 -5.826981290017207e-01 -1.354436239085716e-01 -2.684635756931969e+00  3.963270994066334e-01  2.411852496025218e+00       19
 3.550906348899117e+01 -6.755411922569865e-01 -1.407580788333857e-01 -2.997312735235268e+00  1.608544936377351e-01  2.265529078750434e+00       20
 3.737796156735913e+01 -7.781441964574937e-01 -1.402783159297616e-01 -3.336746795676655e+00 -5.518022975474002e-02  2.142072098424872e+00       21
 3.924685964572707e+01 -8.930970166913768e-01 -1.378597719697459e-01 -3.719858761449765e+00 -2.531348437421514e-01  2.041430619571609e+00       22
 4.111575772409502e+01 -1.020645618387813e+00 -1.293402827975236e-01 -4.157481508989011e+00 -4.531940456984324e-01  1.963703523817999e+00       23
 4.298465580246298e+01 -1.164080069940379e+00 -1.139805826358010e-01 -4.642107434030123e+00 -7.015774418779768e-01  1.908556838890401e+00       24
 4.485355388083093e+01 -1.323150876385274e+00 -9.298589717310039e-02 -5.198271745381921e+00 -9.817163559062210e-01  1.870893917306194e+00       25
 4.672245195919889e+01 -1.502733897854963e+00 -6.890017458022779e-02 -5.862295861527498e+00 -1.273217253294222e+00  1.810358861027664e+00       26
 4.859135003756685e+01 -1.704921672576522e+00 -4.618004447733449e-02 -6.615456080944159e+00 -1.658570487576522e+00  1.670579702022081e+00       27
 5.046024811593480e+01 -1.933347145338923e+00 -2.855688018498073e-02 -7.502227950921435e+00 -2.297861289836226e+00  1.393825108419114e+00       28
 5.232914619430275e+01 -2.192946072898184e+00 -1.529841913425442e-02 -8.719706154295398e+00 -3.331187998568625e+00  9.220484324750648e-01       29
 5.419804427267071e+01 -2.500000000000000e+00  0.000000000000000e+00 -9.456385145430088e+00 -4.640958140559668e+00  2.000000000000000e-01       30
